ID,Company_Name,Address,Telephone,Facsimile,Email,Website
21207,Agen Ltd. AGEN Biomedical Library,11 Durrell St    Acacia Ridge     BRISBANE       QLD   4110     AUSTRALIA,07 3370 6300,07 3370 6370,,http://www.agenix.com
89018,City of Melville AH Bracks Library  - Interlibrary Loans,Corner of Stock Road & Canning Highway    MELVILLE       WA   6156     AUSTRALIA,0893640130,0893640285,ills@melville.wa.gov.au,http://www.melvillecity.com.au
21474,Australian Institute of Aboriginal and Torres Strait Islander Studies AIATSIS Collections,51 Lawson Crescent    Acton Peninsula     CANBERRA       ACT   2601     AUSTRALIA,02 6246 1182,,ill@aiatsis.gov.au,http://www.aiatsis.gov.au/
20556,Australian Institute of Family Studies AIFS Library,Level 40    40 City Road     SOUTHBANK       VIC   3006     AUSTRALIA,03 9214 7809,,ill@aifs.gov.au,
19651,Australian Institute of Health and Welfare AIHW Library,26 Thynne Street    Fernhill Park     BRUCE       ACT   2617     AUSTRALIA,02 6244 1007,02 6244 1299,library@aihw.gov.au,http://www.aihw.gov.au/
21712,Australian Institute of Management QLD & NT AIM Graduate Studies Library,Cnr Boundary & Rosa Streets    SPRING HILL       QLD   4000     AUSTRALIA,07 3832 0151,07 3832 0339,library@aimqld.com.au,http://www.aim.com.au/
20375,Australian Institute of Management AIM Information Resource Centre,181 Fitzroy St    ST KILDA       VIC   3182     AUSTRALIA,,,,http://www.aim.com.au/
165108,Australian International School Singapore AIS Library,1 Lorong chuan    SINGAPORE          556818     SINGAPORE,,,,http://www.ais.com.sg/
148488, ALS Library Services Pty Ltd,12-14 Tooronga Avenue    EDWARDSTOWN       SA   5039     AUSTRALIA,,,,http://www.alslib.com.au/
20209,Australian Medical Association (South Australia) Inc AMA(SA),80 Brougham Pl     NORTH ADELAIDE       SA   5006     AUSTRALIA,08 8361 0100,08 8267 5349,,http://www.amasa.org.au/
163428, AMEC Foster Wheeler Mining & Metals: Resource Centre,"Level 7, 197 Georges Terrace    PERTH       WA   6000     AUSTRALIA",08 9347 4777,0 8 9347 4747,carolyn.bownes@amecfw.com,
21130,Adult Migrant Education Service AMES Library,Myer House    250 Elizabeth St     MELBOURNE       VIC   3000     AUSTRALIA,03 9663 2481,03 9663 2781,,http://www.ames.net.au/
19906,Australasian Medical Publishing Company AMPCo Library,AMPCo House    277 Clarence Street     SYDNEY       NSW   2000     AUSTRALIA,02 9562 6666,02 9562 6699,library@ampco.com.au,http://www.ampco.com.au/
19879,Australian Nuclear Science and Technology Organisation ANSTO Library,New Illawarra Rd    LUCAS HEIGHTS       NSW   2234     AUSTRALIA,02 9717 7755,02 9717 9295,nlhr@ansto.gov.au,http://www.ansto.gov.au/
21748,Australian National Training Authority ANTA Library,"Level 11, AMP Place    10 Eagle Street     BRISBANE       QLD   4001     AUSTRALIA",07 3246 2314,07 3246 2490,rogersj@anta.gov.au,http://www.anta.gov.au/
21263,Australian National University ANU Archives Program,Menzies Building 2    Australian National University     ACTON       ACT   0200     AUSTRALIA,02 6125 2219,02 6125 0140,university.archives@anu.edu.au,http://www.anu.edu.au
19629,University Co-operative Bookshop Ltd ANU Campus,Australian National University    CANBERRA       ACT   2600     AUSTRALIA,,02 6249 6244,,
65591,ANZ Banking Group Ltd. ANZ Research and Information Services,Level 10    100 Queen Street     MELBOURNE       VIC   3000     AUSTRALIA,03 8655 9045,03 8655 7224,marilla.chant@anz.com,http://www.anz.com.au/
176031,Australian and New Zealand College of Anaesthetists ANZCA Institutional Repository,630 St Kilda Rd    MELBOURNE       VIC   3004     AUSTRALIA,03 8517 5368,,,http://www.anzca.edu.au/
21295,Australian and New Zealand College of Anaesthetists ANZCA Library,630 St Kilda Rd    MELBOURNE       VIC   3004     AUSTRALIA,03 8517 5368,03 8517 5381,library@anzca.edu.au,http://www.anzca.edu.au/
19717,APSCAN APSCAN Library,6/17 Chester Street    CAMPERDOWN       NSW   2050     AUSTRALIA,02 9428 6496,,,http://www.apscan.com.au
20683,Australian Radiation Protection and Nuclear Safety Agency ARPANSA Library Services  - ARPANSA Library Services,ARPANSA Library Services    619 Lower Plenty Rd     YALLAMBIE       VIC   3085     AUSTRALIA,03 9433 2376,03 9432 1835,librarian@arpansa.gov.au,http://www.arpansa.gov.au/
130229, ASEAN - China Business Services,3/69 Prince Edward Park rd     WORONORA       NSW   2232     AUSTRALIA,,,,http://www.asean-cn.org/
21084,Australian Securities Exchange Limited ASX Research & Information,20 Bridge St    Australia Square     SYDNEY       NSW   2000     AUSTRALIA,02 9227 0406,02 9227 0700,RandI@asx.com.au,http://www.asx.com.au/
115512,AUSTRAC AUSTRAC Library  - AUSTRAC Library & Research Centre,AUSTRAC Library    PO Box 5516     WEST CHATSWOOD       NSW   1515     AUSTRALIA,02 9950 0096,02 9950 0074,library@austrac.gov.au,http://www.austrac.gov.au/
20085,Australian Workers' Union AWU Library,"5th Fl, Macarthur Chambers    201 Edward St     BRISBANE       QLD   4000     AUSTRALIA",07 3221 1450,07 3221 8396*,,
161828," Aboriginal, Multicultural, Languages and Learning Resource Centre","Aboriginal, Multicultural, Languages & Learning Resource Centre    255 Torrens Rd     WEST CROYDON       SA   5008     AUSTRALIA",08 83014850,08 83014860,,http://www.lmrc.sa.edu.au
19634," Academy Library, UNSW Canberra  - Document Supply","UNSW Sydney, Library, Document Services Unit    Library Loading Dock, Gate 11, Botany St     SYDNEY       NSW   2052     AUSTRALIA",02 9385 2671,02 9385 8540,ill.one@unsw.edu.au,https://www.unsw.adfa.edu.au/library/
21553,Academy of Traditional Chinese Medicine Academy of Traditional Chinese Medicine Library,Northcote Clinic    96-98 Union St     NORTHCOTE       VIC   3070     AUSTRALIA,03 9489 2266,03 9489 6615,,
21659,Activ Activ Learning and Discover Centre,71 Jarrah Road    EAST VICTORIA PARK       WA   6101     AUSTRALIA,08 9387 0458,08 9387 0599,library@activ.asn.au,http://www.activ.asn.au
21894,CSIRO Acton Library  - Document Delivery Service,"Computer Science and Information Technology Building    North Rd , ANU Campus     ACTON       ACT   2601     AUSTRALIA",03 9545 7866/7875,03 9545 7882,docdel@csiro.au,http://www.csiro.au/
20844,St Columba College Ada Purnell Library,Stirling Hwy    NEDLANDS       WA   6009     AUSTRALIA,08 9386 8878,,,
169758, Adam Lindsay Gordon Commemorative Committee,,,,,http://www.adamlindsaygordon.org/
178032,Alphacrucis College Limited Adelaide Campus,1013 South Road    MELROSE PARK       SA   5039     AUSTRALIA,,,,
21526,Catholic Archdiocese of Adelaide Adelaide Catholic Archives,39 Wakefield St    ADELAIDE       SA   5000     AUSTRALIA,,,,
164008, Adelaide Central School of Art,7 Mulberry Rd    GLENSIDE       SA   5065     AUSTRALIA,,,,http://library.acsa.sa.edu.au
22658,Adelaide City Libraries Adelaide City Libraries - City Library,"Level 3, Rundle Place    77-91 Rundle Mall     ADELAIDE       SA   5000     AUSTRALIA",08 8203 7990,,library@cityofadelaide.com.au,http://www.adelaidecitycouncil.com
20891,Adelaide House Adelaide House Library,Todd Mall    ALICE SPRINGS       NT   0870     AUSTRALIA,08  8952 1856,,,
20295,CSIRO Adelaide Library  - Document Delivery Service,Kintore Ave    ADELAIDE       SA   5000     AUSTRALIA,03 9545 7866/7875,03 9545 7882,docdel@csiro.au,http://www.csiro.au/
174322,NT Schools Palmerston and Rural Region Adelaide River Community Library,C/- Post Office    ADELAIDE RIVER       NT   0846     AUSTRALIA,,,,
20314,Flinders University Adelaide Theological Library,312 Sir Donald Bradman Drive    BROOKLYN PARK       SA   5032     AUSTRALIA,08 8416 8416,08 8416 8410,theo.library@flinders.edu.au,http://www.flinders.edu.au/
20212,The Theosophical Society in Australia Adelaide Theosophical Society Library,310 South Terrace    ADELAIDE       SA   5000     AUSTRALIA,,,,http://www.austheos.org.au/
26827, Aerostructures Library,Level 14    222 Kingsway     SOUTH MELBOURNE       VIC   3205     AUSTRALIA,,,,
164488, Agritechnology Pty Ltd,36 Underwood Road    ORANGE       NSW   2800     AUSTRALIA,02 6365 2266,02 6365 2227,graham@agritechnology.com.au,http://www.agritechnology.com.au
21312,Airservices Australia Airservices Australia Library  - Document Supply/Interlibrary Loan Service,Alan Woods Building    25 Constitution Ave     CANBERRA       ACT   2601     AUSTRALIA,02 6268 4942,02 6268 4650,library@airservicesaustralia.com,http://www.airservicesaustralia.com/
20337,TasTAFE Libraries Alanvale Library (Launceston),Alanvale Rd    ALANVALE       TAS   7248     AUSTRALIA,03  6236 4224,03  6226 5039,pickupr@litpo.ltn.dirvet.tas.gov.au,http://library.tastafe.tas.edu.au
21489,Albany Public Library Albany Public Library,221 York St    ALBANY       WA   6330     AUSTRALIA,,,,http://library.albany.wa.gov.au/
173112, Albert Park-South Melbourne Rowing Club,,,,,http://www.apsmrc.com/
19712,Albion Street Centre Albion Street Centre Library,150-154 Albion St    SURRY HILLS       NSW   2010     AUSTRALIA,02 9332 1090,02 9331 3490,,http://www.sesahs.nsw.gov.au/albionstcentre/
176239,"AlburyCity libraries
    Albury LibraryMuseum
    Albury LibraryMuseum Digital Collections Albury Library Museum Digital Collections",,,,,http://www.alburycity.nsw.gov.au/leisure-and-culture/libraries-and-museum
151468,AlburyCity libraries Albury LibraryMuseum  - AlburyCity libraries,540 Kiewa Street    ALBURY       NSW   2640     AUSTRALIA,02 6023 8333,,interlibrary@alburycity.nsw.gov.au,https://www.alburycity.nsw.gov.au/leisure/museum-and-libraries/locations/librarymuseum
176243,"AlburyCity libraries
    Albury LibraryMuseum Albury LibraryMuseum Digital Collections",,,,,https://www.alburycity.nsw.gov.au/leisure/museum-and-libraries/locations/librarymuseum
19684, Albury Wodonga Health  - Inter Library Loans,201 Borella Rd      ALBURY       NSW   2640     AUSTRALIA,02 6058 4588,,library.albury@awh.org.au,https://www.awh.org.au/for-health-professionals/research-education/library
19791,Charles Sturt University Albury-Wodonga Campus Library  - Document Delivery,Building 753    Elizabeth Mitchell Drive     THURGOONA       NSW   2640     AUSTRALIA,02 6051 9812,,bathill@csu.edu.au,
20969,"La Trobe University
    La Trobe University Library Albury-Wodonga Campus, David Mann Library  - Interlending & Document Delivery Service",133 McKoy Street    WODONGA       VIC   3690     AUSTRALIA,02 6024 9704,,ildds.aw@latrobe.edu.au,http://www.lib.latrobe.edu.au/
20367,Australian Drug Foundation Alcohol and Drug Foundation Druginfo Library,Level 12    607 Bourke St     MELBOURNE       VIC   3000     AUSTRALIA,03 9611 6100,,library@adf.org.au,http://www.adf.org.au/
20671,Queen Elizabeth Centre Ballarat Alex L Anderson Library,102 Ascot St    SOUTH BALLARAT       VIC   3350     AUSTRALIA,03  5320 3790,03  5320 3860,,
154548,Justice and Community Safety Directorate Alexander Machonochie Centre Library,10400 Monaro Highway     Hume       ACT   2640     AUSTRALIA,02 62072782,,susan.lavery@act.gov.au,http://www.justice.act.gov.au
169714, Alexandra Timber Tramway & Museum,,,,,http://www.alexandratramway.org.au/
169579, Alfred Hospital Nurses League-Nursing Archives,,,,,
20756,University of Melbourne - St Hilda's College Alice Paton Library,19-25 College Crescent    PARKVILLE       VIC   3052     AUSTRALIA,03 9248 8417,03 9248 8480,,http://www.hildas.unimelb.edu.au/
165169, Alice Smith School: KLASS Library,2 Jalan Bellamy    Kuala Lumpur          50460     MALAYSIA,,,,http://www.klasslibrary.com
20920,CSIRO Alice Springs Library,Heath Rd     ALICE SPRINGS       NT   0870     AUSTRALIA,03 9545 7866/7875,03  9545 7882,docdel@csiro.au,http://www.csiro.au/
97402,Alice Springs Town Council Alice Springs Public Library,Alice Springs Public Library    Corner Gregory and Leichhardt Terraces     ALICE SPRINGS       NT   0870     AUSTRALIA,08 8950 0558,08 8952 2402,ill@astc.nt.gov.au,http://www.alicesprings.nt.gov.au/
178489, All Access,84-86 Nicholson Street    ABBOTSFORD       VIC   3067     AUSTRALIA,,,,
158389, All Saints Anglican School,Highfield Dr    Meriamac       QLD   4226     AUSTRALIA,,,,http://www.asas.qld.edu.au/
169558, Allansford Cheese World Museum,,,,,
19799,NextSense Institute Alternative-Format Publications Library,361-365 North Rocks Rd    NORTH ROCKS       NSW   2151     AUSTRALIA,02 9871 1233,02 9871 2196,,http://www.ridbc.org.au/
20376,Altona Historical Society Altona Historical Society Library,'The Homestead'    128 Queen St     ALTONA       VIC   3018     AUSTRALIA,,,,
172672, Alyangula Joint Use Library,"Alyangula Area School    Alyangula, Flinders Street     GROOTE EYLANDT       NT   0885     AUSTRALIA",,,,
100009, Alzheimer's WA Library,9 Bedbrook Place    SHENTON PARK       WA   6008     AUSTRALIA,08 9388 2800,08 9388 2739,Samantha.stewart@alzheimerswa.org.au,
21642,Royal North Shore Hospital Anaesthesia & Pain Management Library,Level 4    Royal North Shore Hospital     ST LEONARDS       NSW   2065     AUSTRALIA,02 9926 6375,02 9906 4079,pomeara@med.usyd.edu.au,
159072, Analysis & Policy Observatory,Electronic Resource    N/A       VIC   N/A     AUSTRALIA,,,,http://apo.org.au
164248,Andamooka School Community Andamooka Library,PO Box 143    Government Road     ANDAMOOKA       SA   5722     AUSTRALIA,08 8672 7018,,dl.0509.library@schools.sa.edu.au,http://www.andamooka.sa.edu.au
169744, Andrew Ross Museum,,,,,http://www.andrewrossmuseum.org.au/
19686,"Anglican Board of Mission - Australia Anglican Board of Mission, Needham Memorial Library",91 Bathurst St    SYDNEY       NSW   2000     AUSTRALIA,02 9264 1021,,,
20206,"Ministry Development Council, Anglican Diocese of Adelaide Anglican Resource Centre,  Diocese of Adelaide",27 King William Rd    NORTH ADELAIDE       SA   5006     AUSTRALIA,08 8239 0991,08 8239 2010,anglican.education@accnet.au,http://www.anglican.org.au/adelaide/
23579,"Eastern Health
    Eastern Health - Angliss Hospital Angliss Hospital Library",Albert Street    FERNTREE GULLY       VIC   3156     AUSTRALIA,03 9752 3684,03 9752 3694,cathryn.speck@angliss.com.au,http://www.easternhealth.org.au/angliss/angliss.html
19681,Anglo-Australian Observatory Anglo-Australian Observatory Library,167 Vimiera Rd    EASTWOOD       NSW   2122     AUSTRALIA,02 9372 4814,02 9372 4880,lib@aaoepp.aao.gov.au,http://www.aao.gov.au/
21529,South Australian Museum Anthropology Archives,North Tce    ADELAIDE       SA   5000     AUSTRALIA,,,,http://www.samuseum.sa.gov.au/
21283,Anyinginyi Congress Aboriginal Corporation Anyinginyi Congress Aboriginal Corporation Library,261 Schmidt St    TENNANT CREEK       NT   0860     AUSTRALIA,08  8962 2385,08  8962 3280,,
20377,Apostolic Church Australia Apostolic Church Australia Library,409 Mountain Hwy    WANTIRNA       VIC   3152     AUSTRALIA,03 9729 7222,03 9729 3144,,
177931, Ararat Gallery TAMA,,,,,http://www.araratgallerytama.com.au/
159368,University of South Australia Architecture Museum,"Kaurna Building, Level 2, Room 21 (2-21)     Fenn Place, University of South Australia     Adelaide       SA   5000     AUSTRALIA",08 8302 9235,,architecturemuseum@unisa.edu.au,http://www.unisa.edu.au/
21729,St. Andrew' s Kirk Archival Collection,"Sturt St (cr, Dawson Street)    BALLARAT       VIC   3350     AUSTRALIA",03 5341 2405,03 5341 2401,,
150668,Powerhouse Museum Archival Records,84 Mary Ann Street    Ultimo       NSW   2007     AUSTRALIA,,,,http://www.powerhousemuseum.com/
21707,Collingwood Football Club Ltd Archive,Lulie St    ABBOTSFORD       VIC   3067     AUSTRALIA,03 9419 9222,03 9419 3302,,
20890,Australian Broadcasting Corporation Archive & Library Services - ABC Darwin,Harry Chan Ave    DARWIN       NT   0800     AUSTRALIA,08  8982 3278,,,http://www.abc.net.au/
21512,The University of Sydney Archive of Australian Judaica,c/- Rare Books and Special Collections    Fisher Library F03     UNIVERSITY OF SYDNEY       NSW   2006     AUSTRALIA,61 2 9351 4162,61 2 9351 2890,mdacy@library.usyd.edu.au,https://sydney.edu.au/
169601, Archive of Vietnamese Boat People,,,,,
154228,Royal Australasian College of Surgeons Archives,250-290 Spring St    East Melbourne       VIC   3002     AUSTRALIA,,,,http://www.racs.edu.au/
22254, Archives Office of Tasmania,77 Murray St    HOBART       TAS   7000     AUSTRALIA,,,,http://www.tased.edu.au/archives
21412,Wellington Shire Council Archives Section,156 Grant St    YARRAM       VIC   3971     AUSTRALIA,03  5182 5100,03  5182 6264,,http://www.wellington.vic.gov.au/
140897,Royal Perth Yacht Club Archives of Royal Perth Yacht Club of Western Australia,"Australia 11 Drive    CRAWLEY, PERTH       WA   6909     AUSTRALIA",08 9389 1555,08 9389 1459,club@rpyc.com.au,http://www.rpyc.com.au/
76599, Archives of the Roman Catholic Archdiocese of Perth,25 Victoria Avenue    PERTH       WA   6000     AUSTRALIA,,,,
20892,"NT Department of Industry, Tourism and Trade Arid Zone Research Institute Library  - Inter Library loans",Library - AZRI Institute  Building    South Stuart Hwy     ALICE SPRINGS       NT   0870     AUSTRALIA,08 8951 8134,,azri.library@nt.gov.au,
89020,City of Armadale Library Service Armadale Library,Shop 64 / 10 Orchard Avenue    ARMADALE       WA   6112     AUSTRALIA,,,,http://www.armadale.wa.gov.au/services_and_facilities/libraries/
19984,CSIRO Armidale Library  - Document Supply Service,New England Hwy    ARMIDALE       NSW   2350     AUSTRALIA,03 9545 7866/7875,03 9545 7882,docdel@csiro.au,http://www.csiro.au/
19711,Armidale Regional Council Libraries Armidale War Memorial Library,1/182 Rusden Street    ARMIDALE       NSW   2350     AUSTRALIA,02 6770 3636,,illo@armidale.nsw.gov.au,http://www.armidale.nsw.gov.au
163948, Arndell Anglican College,118 Wolseley Road    OAKVILLE       NSW   2765     AUSTRALIA,02 4572 3633,02 4572 3849,library@arndell.nsw.edu.au,https://www.arndell.nsw.edu.au/content/library-services
21058,Australian National University Art & Music Library,The Australian National University    School of Art; Building 105     CANBERRA       ACT   2600     AUSTRALIA,02 6125 5799,,,http://www.anu.edu.au
20406,Art Gallery of Ballarat Art Gallery of Ballarat Library,40 Lydiard St North    BALLARAT       VIC   3350     AUSTRALIA,03  5320 5858,03  5320 5791,,http://www.balgal.com
20203,Art Gallery of South Australia Art Gallery of South Australia Research Library,North Terrace    ADELAIDE       SA   5000     AUSTRALIA,08 8207 7041 / 08 8207 7042,08 8207 7070,Phan.Ju@artgallery.sa.gov.au,http://www.artgallery.sa.gov.au/
20371,Arthritis/Osteoporosis Victoria Arthritis and Osteoporosis Victoria Library,263-265 Kooyong Rd    ELSTERNWICK       VIC   3185     AUSTRALIA,03 8531 8031,03 9530 0228*,lisa.bywaters@arthritisvic.org.au,http://www.arthritisvic.org.au/
20643,Arup Arup Melbourne Office Library  - Arup University Library - Melbourne,"Skypark, One Melbourne Quarter    699 Collins Street     DOCKLANDS       VIC   3008     AUSTRALIA",03 9668 5413,,aus.library@arup.com,http://www.arup.com.au
168848, Ascham School: Margaret Bailey Library,188 New South Head Road    EDGECLIFF       NSW   2027     AUSTRALIA,,,,
19704,Inner West Council Ashfield Municipal Library  - Inner West Council Library and History,"Piazza level, Italian Forum    23 Norton Street     Leichhardt       NSW   2040     AUSTRALIA",02  9392 5588,,,http://www.ashfield.nsw.gov.au/page/library.html
133469,Ashurst Ashurst Brisbane Library & Research Services  - Ashurst Brisbane Library & Research Services,Level 39 Riverside Centre    123 Eagle St     BRISBANE       QLD   4000     AUSTRALIA,(03) 9679 3772,(07) 3259 7111,library.research@ashurst.com,http://www.blakedawson.com
133468,Ashurst Ashurst Sydney Library & Research Services  - Sydney Library & Research Services,"Level 11, 5 Martin Place    SYDNEY       NSW   2000     AUSTRALIA",(03) 9679 3772,02 9258 6999,library.research@ashurst.com,http://www.blakedawson.com
159153,"Australian National University
    Australian National University Library
    R.G. Menzies Library Asia Pacific Collection",R.G. Menzies Building (#02)    Fellows Road     Canberra       ACT   0200     AUSTRALIA,,,,http://anulib.anu.edu.au/subjects/ap
158950,"University of South Australia
    University of South Australia Library Asia Pacific Journal of Arts and Cultural Management",Electronic Resource    N/A       SA   N/A     AUSTRALIA,,,,http://www.library.unisa.edu.au/
21572,Copper Development Centre Asian Copper Information Centre,"Suite 1, Level 7    Westfield Towers / 100 William St     SYDNEY       NSW   2001     AUSTRALIA",,,library@ozemail.au,http://www.australia.copper.org/
20694,CSIRO Aspendale Library  - Document Delivery Service,107 Station St    ASPENDALE       VIC   3195     AUSTRALIA,03 9545 7866/7875,03 9545 7882,docdel@csiro.au,http://www.csiro.au/
177208, Association for the Wellbeing of Children in Healthcare,"Gladesville hospital    Building 40B, Cnr Victoria and Punt Rds     GLADESVILLE       NSW   2111     AUSTRALIA",02 9817 2439,,office@awch.com.au,http://awch.intersearch.com.au/
19685,Association of Blind Citizens of New South Wales Association of Blind Citizens of NSW Library,'Shirley House'    11a Ethel St     BURWOOD       NSW   2134     AUSTRALIA,02 9747 2211,,,http://www.asnblind-nsw.org.au/
19680,Capuchin Franciscan Friars Assumption Seminary,Jersey Rd    PLUMPTON       NSW   2761     AUSTRALIA,02 9675 1633,,,
159168,"Australian National University
    Australian National University Library Astronomy Branch Library",Mount Stromlo Observatory    Cotter Road     Weston       ACT   2611     AUSTRALIA,,,,http://anulib.anu.edu.au/
20174,CSIRO Atherton Library  - Document Delivery Service,Maunds Rd    ATHERTON       QLD   4883     AUSTRALIA,03 9545 7866/7875,03 9545 7882,docdel@csiro.au,http://www.csiro.au/
169790, Athletics Victoria,,,,,http://www.athsvic.org.au/
19613, Attorney General's Department,AGD Library    3-5 National Circuit     BARTON       ACT   2600     AUSTRALIA,+61 2 6253 7038,,library@ags.gov.au,https://www.ag.gov.au/
167408, Atwell College Resource and Technology Centre,201 Brenchley Drive    ATWELL       WA   6164     AUSTRALIA,08 9414 4386,08 9414 4355,nicole.mcdonagh@education.wa.edu.au,http://www.atwellcollege.wa.edu.au
165889,CSIRO AuScope,26 Dick Perry Avenue    KENSINGTON       WA   6151     AUSTRALIA,,,cg-admin@csiro.au,http://www.csiro.au/
21205,Western Sydney Local Health District Auburn Hospital Library,"Level 5, 18 Hargrave Road    AUBURN       NSW   2144     AUSTRALIA",02 8759 3823,02 8759 3833,Prashanti.Goluguri@health.nsw.gov.au,http://www.health.nsw.gov.au/wslhd/
19716,Cumberland Council Auburn Library,1 Susan St    Corner of Queen & Susan Streets     AUBURN       NSW   2144     AUSTRALIA,02 9735 1327,02 9735 1304,auburnlibrary@auburn.nsw.gov.au,http://www.auburn.nsw.gov.au/
159208,Australian Institute of Aboriginal and Torres Strait Islander Studies Audiovisual Collections,Acton Peninsula    Lawson Crescent     ACTON       ACT   2601     AUSTRALIA,02 6246 1182,,,http://www.aiatsis.gov.au/
118054,Shire of Augusta-Margaret River Libraries Augusta Public Library,Allnut Terrace    Augusta       WA   6290     AUSTRALIA,08 9780 5670,08 9780 5669,auglib@amrshire.wa.gov.au,https://www.amrshire.wa.gov.au/your-library-service
19710,"Order of Saint Augustine, Province of Australia Augustinian Province Library",60 Federal Pde    BROOKVALE       NSW   2100     AUSTRALIA,02 9938 0210,02 9905 7864,,https://osalibrary.follettdestiny.com/
